threads,parallel,median_s,min_s,max_s,speedup
0,False,0.011113167041912675,0.0104119589086622,0.011191874975338578,1.0
1,True,0.010518749943003058,0.010269750142470002,0.012150208000093699,1.056510241438434
2,True,0.010183291044086218,0.00973566621541977,0.01026141713373363,1.091313897815625
4,True,0.009864625055342913,0.009804499801248312,0.009985208977013826,1.1265676069354023
8,True,0.010898415930569172,0.01071479101665318,0.011450874852016568,1.019704800469318
14,True,0.013392209075391293,0.013185125077143312,0.013792583020403981,0.8298232934799049
