threads,parallel,median_s,min_s,max_s,speedup
0,False,0.945284791989252,0.9356026249006391,0.9504068749956787,1.0
1,True,0.8126682078000158,0.8078279171604663,0.8230688751209527,1.1631866276007574
2,True,0.7663585830014199,0.7641611672006547,0.7682600419502705,1.2334758335805063
4,True,0.7490266668610275,0.7324117920361459,0.7570548339281231,1.2620175406447014
8,True,0.7174182091839612,0.7133586250711232,0.7209067500662059,1.3176202943949267
14,True,0.7314975000917912,0.7215543750207871,0.7438326659612358,1.2922597710458805
