threads,parallel,median_s,min_s,max_s,speedup
0,False,0.05899575003422797,0.05850999988615513,0.06034370884299278,1.0
1,True,0.056301499949768186,0.05495999986305833,0.05723829194903374,1.0478539663572652
2,True,0.05183404195122421,0.05162816704250872,0.05234591709449887,1.1381661127207274
4,True,0.05244825012050569,0.051288916962221265,0.05339666595682502,1.1248373377315481
8,True,0.053568916162475944,0.05314991716295481,0.05412999982945621,1.101305650002182
14,True,0.05843062489293516,0.05785800004377961,0.05880133295431733,1.009671728521273
