threads,parallel,median_s,min_s,max_s,speedup
0,False,0.4252520001027733,0.42463929089717567,0.42532958392985165,1.0
1,True,0.39473070786334574,0.39204958407208323,0.400818457826972,1.0773218085936043
2,True,0.37176583311520517,0.36907641706056893,0.3718716250732541,1.1438705825637117
4,True,0.3607781669124961,0.3578640839550644,0.3618167501408607,1.1787076910502592
8,True,0.3697370421141386,0.3612045419868082,0.3719807919114828,1.1501471361138254
14,True,0.3801031250040978,0.37839754088781774,0.38016566704027355,1.1187805943405194
