threads,parallel,median_s,min_s,max_s,speedup
0,False,0.017318999860435724,0.01728975004516542,0.017698584124445915,1.0
1,True,0.016654500039294362,0.016344500007107854,0.016903084004297853,1.0398991155287491
2,True,0.016514041926711798,0.016347124939784408,0.016538709169253707,1.0487438470421884
4,True,0.016460624989122152,0.016379832988604903,0.01667637494392693,1.0521471615981057
8,True,0.01870008301921189,0.018084959127008915,0.018989916890859604,0.9261456135057111
14,True,0.020845459075644612,0.020806167041882873,0.02096508303657174,0.8308284215563702
