threads,parallel,median_s,min_s,max_s,speedup
0,False,0.007269042078405619,0.007248082896694541,0.007330167107284069,1.0
1,True,0.006671541836112738,0.006578915985301137,0.006777916103601456,1.0895595436513101
2,True,0.006809541955590248,0.0067005830351263285,0.006973749957978725,1.067478859196711
4,True,0.00719604198820889,0.007149209035560489,0.007547375047579408,1.0101444780778577
8,True,0.007800000021234155,0.0076477909460663795,0.008321749977767467,0.9319284690534494
14,True,0.010029542027041316,0.009973417036235332,0.010613500140607357,0.7247631106990798
