threads,parallel,median_s,min_s,max_s,speedup
0,False,0.24171600001864135,0.24096345808357,0.24278066703118384,1.0
1,True,0.21733850007876754,0.21591187501326203,0.2217320001218468,1.112163744256259
2,True,0.19800679199397564,0.19411633303388953,0.1984841658268124,1.2207460036320146
4,True,0.1879656668752432,0.18793058395385742,0.18989033391699195,1.285958249913126
8,True,0.18951841699890792,0.1861043330281973,0.20362137514166534,1.2754222193615843
14,True,0.1955560001078993,0.19280604203231633,0.19595112511888146,1.2360449174930606
